web-scraper-order,web-scraper-start-url,links,links-href,ชื่อมหาลัย,หลักสูตร,วิทยาเขต,ค่าเทอม,Portfolio,Quota,Admission,Direct Admission
"1722072553-21","https://course.mytcas.com/","วศ.บ.วิศวกรรมเครื่องกล สาขาวิชาวิศวกรรมเครื่องกล-ซ่อมบำรุงอากาศยาน (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมเครื่องกลมหาวิทยาลัยเกษมบัณฑิต วิทยาเขตร่มเกล้า","https://course.mytcas.com/programs/41800204300701A?major=C","มหาวิทยาลัยเกษมบัณฑิต","วศ.บ.วิศวกรรมเครื่องกล","วิทยาเขตร่มเกล้า","อัตราค่าเล่าเรียน 480,000 บาทตลอดหลักสูตร","","","60","ไม่เปิดรับสมัครในรอบนี้"
"1722072558-22","https://course.mytcas.com/","วศ.บ.วิศวกรรมเครื่องกล สาขาวิชาวิศวกรรมเครื่องกล-นักบิน (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมเครื่องกลมหาวิทยาลัยเกษมบัณฑิต วิทยาเขตร่มเกล้า","https://course.mytcas.com/programs/41800204300701A?major=B","มหาวิทยาลัยเกษมบัณฑิต","วศ.บ.วิศวกรรมเครื่องกล","วิทยาเขตร่มเกล้า","อัตราค่าเล่าเรียน 268,2910 บาทตลอดหลักสูตร","","","60","ไม่เปิดรับสมัครในรอบนี้"
"1722072563-23","https://course.mytcas.com/","วศ.บ.วิศวกรรมเครื่องกล สาขาวิชาวิศวกรรมเครื่องกล-เครื่องกล (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมเครื่องกลมหาวิทยาลัยเกษมบัณฑิต วิทยาเขตร่มเกล้า","https://course.mytcas.com/programs/41800204300701A?major=A","มหาวิทยาลัยเกษมบัณฑิต","วศ.บ.วิศวกรรมเครื่องกล","วิทยาเขตร่มเกล้า","อัตราค่าเล่าเรียน 272,910 ตลอดหลักสูตร","","","60","ไม่เปิดรับสมัครในรอบนี้"
"1722072568-24","https://course.mytcas.com/","วศ.บ.วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมคอมพิวเตอร์มหาวิทยาลัยเกษมบัณฑิต วิทยาเขตร่มเกล้า","https://course.mytcas.com/programs/41800204300501A","มหาวิทยาลัยเกษมบัณฑิต","วศ.บ.วิศวกรรมคอมพิวเตอร์","วิทยาเขตร่มเกล้า","อัตราค่าเล่าเรียน 258,250 บาทตลอดหลักสูตร","","","40","ไม่เปิดรับสมัครในรอบนี้"
"1722072573-25","https://course.mytcas.com/","วศ.บ.วิศวกรรมไฟฟ้า (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมไฟฟ้ามหาวิทยาลัยเกษมบัณฑิต วิทยาเขตพัฒนาการ","https://course.mytcas.com/programs/41800104301601A","มหาวิทยาลัยเกษมบัณฑิต","วศ.บ.วิศวกรรมไฟฟ้า","วิทยาเขตพัฒนาการ","อัตราค่าเล่าเรียน 280,159 บาทตลอดหลักสูตร","","","40","ไม่เปิดรับสมัครในรอบนี้"
"1722072578-26","https://course.mytcas.com/","วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลจิสติกส์ (ภาษาไทย ปกติ)วิทยาลัยนวัตกรรมด้านเทคโนโลยีและวิศวกรรมศาสตร์›วิศวกรรมโลจิสติกส์มหาวิทยาลัยธุรกิจบัณฑิตย์","https://course.mytcas.com/programs/41030102302401A","มหาวิทยาลัยธุรกิจบัณฑิตย์","วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลจิสติกส์","วิทยาเขตหลัก","ค่าเล่าเรียนต่อเทอม 43,000 บาท หรือ ค่าเล่าเรียนตลอดหลักสูตร 354,000 บาท","40","40","40","ไม่เปิดรับสมัครในรอบนี้"
"1722072583-27","https://course.mytcas.com/","วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ)วิทยาลัยนวัตกรรมด้านเทคโนโลยีและวิศวกรรมศาสตร์›วิศวกรรมคอมพิวเตอร์มหาวิทยาลัยธุรกิจบัณฑิตย์","https://course.mytcas.com/programs/41030102300501A","มหาวิทยาลัยธุรกิจบัณฑิตย์","วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์","วิทยาเขตหลัก","ค่าเล่าเรียนต่อเทอม 43,500 บาท หรือ ค่าเล่าเรียนตลอดหลักสูตร 358,000 บาท","30","30","30","ไม่เปิดรับสมัครในรอบนี้"
"1722072589-28","https://course.mytcas.com/","วิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีสารสนเทศและวิทยาการข้อมูล (ภาษาไทย ปกติ)วิทยาลัยนวัตกรรมด้านเทคโนโลยีและวิศวกรรมศาสตร์›เทคโนโลยีสารสนเทศมหาวิทยาลัยธุรกิจบัณฑิตย์","https://course.mytcas.com/programs/41030102220101A","มหาวิทยาลัยธุรกิจบัณฑิตย์","วิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีสารสนเทศและวิทยาการข้อมูล","วิทยาเขตหลัก","ค่าเล่าเรียนต่อเทอม 41,250 บาท หรือ ค่าเล่าเรียนตลอดหลักสูตร 340,000 บาท","40","40","40","ไม่เปิดรับสมัครในรอบนี้"
"1722072594-29","https://course.mytcas.com/","หลักสูตรวิทยาศาสตรบัณฑิต (วิทยาการหุ่นยนต์สุขภาพ) (Joint Degree - นานาชาติ)คณะวิทยาศาสตร์และเทคโนโลยี›วิศวกรรมหุ่นยนต์มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ","https://course.mytcas.com/programs/40730105302904I","มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ","หลักสูตรวิทยาศาสตรบัณฑิต (วิทยาการหุ่นยนต์สุขภาพ)","วิทยาเขตหลัก","980,000 บาท ตลอดหลักสูตร","","","20","ไม่เปิดรับสมัครในรอบนี้"
"1722072599-30","https://course.mytcas.com/","วศ.บ.วิศวกรรมชีวการแพทย์ (ภาษาไทย ปกติ)วิทยาลัยวิศวกรรมชีวการแพทย์›วิศวกรรมชีวการแพทย์มหาวิทยาลัยรังสิต","https://course.mytcas.com/programs/40680141300901A","มหาวิทยาลัยรังสิต","วศ.บ.วิศวกรรมชีวการแพทย์","วิทยาเขตหลัก","ค่าเล่าเรียนตลอดหลักสูตร 497,800","","","30","ไม่เปิดรับสมัครในรอบนี้"
"1722072604-31","https://course.mytcas.com/","วศ.บ.วิศวกรรมอุตสาหการ (ภาษาไทย ปกติ)วิทยาลัยวิศวกรรมศาสตร์›วิศวกรรมอุตสาหการมหาวิทยาลัยรังสิต","https://course.mytcas.com/programs/40680111303501A","มหาวิทยาลัยรังสิต","วศ.บ.วิศวกรรมอุตสาหการ","วิทยาเขตหลัก","ค่าเล่าเรียนตลอดหลักสูตร 386,300","","","30","ไม่เปิดรับสมัครในรอบนี้"
"1722072609-32","https://course.mytcas.com/","วศ.บ.วิศวกรรมโยธา (ภาษาไทย ปกติ)วิทยาลัยวิศวกรรมศาสตร์›วิศวกรรมโยธามหาวิทยาลัยรังสิต","https://course.mytcas.com/programs/40680111302101A","มหาวิทยาลัยรังสิต","วศ.บ.วิศวกรรมโยธา","วิทยาเขตหลัก","ค่าเล่าเรียนตลอดหลักสูตร 414,800","","","30","ไม่เปิดรับสมัครในรอบนี้"
"1722072614-33","https://course.mytcas.com/","วศ.บ.วิศวกรรมไฟฟ้า (ภาษาไทย ปกติ)วิทยาลัยวิศวกรรมศาสตร์›วิศวกรรมไฟฟ้ามหาวิทยาลัยรังสิต","https://course.mytcas.com/programs/40680111301601A","มหาวิทยาลัยรังสิต","วศ.บ.วิศวกรรมไฟฟ้า","วิทยาเขตหลัก","ค่าเล่าเรียนตลอดหลักสูตร 397,200","","","30","ไม่เปิดรับสมัครในรอบนี้"
"1722072619-34","https://course.mytcas.com/","วศ.บ.วิศวกรรมเครื่องกล (ภาษาไทย ปกติ)วิทยาลัยวิศวกรรมศาสตร์›วิศวกรรมเครื่องกลมหาวิทยาลัยรังสิต","https://course.mytcas.com/programs/40680111300701A","มหาวิทยาลัยรังสิต","วศ.บ.วิศวกรรมเครื่องกล","วิทยาเขตหลัก","ค่าเล่าเรียนตลอดหลักสูตร 394,000","","","30","ไม่เปิดรับสมัครในรอบนี้"
"1722072624-35","https://course.mytcas.com/","วศ.บ.วิศวกรรมเคมี (ภาษาไทย ปกติ)วิทยาลัยวิศวกรรมศาสตร์›วิศวกรรมเคมีมหาวิทยาลัยรังสิต","https://course.mytcas.com/programs/40680111300601A","มหาวิทยาลัยรังสิต","วศ.บ.วิศวกรรมเคมี","วิทยาเขตหลัก","ค่าเล่าเรียนตลอดหลักสูตร 384,800","","","30","ไม่เปิดรับสมัครในรอบนี้"
"1722072629-36","https://course.mytcas.com/","วศ.บ.วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ)วิทยาลัยวิศวกรรมศาสตร์›วิศวกรรมคอมพิวเตอร์มหาวิทยาลัยรังสิต","https://course.mytcas.com/programs/40680111300501A","มหาวิทยาลัยรังสิต","วศ.บ.วิศวกรรมคอมพิวเตอร์","วิทยาเขตหลัก","ค่าเล่าเรียนตลอดหลักสูตร 396,800","","","30","ไม่เปิดรับสมัครในรอบนี้"
"1722072634-37","https://course.mytcas.com/","หลักสูตรมาตรฐาน สาขาวิชาภาษาไทย (ภาษาไทย ปกติ)วิศวกรรมศาสตร์›วิศวกรรมระบบวัดคุม วิศวกรรมอัตโนมัติมหาวิทยาลัยเทคโนโลยีมหานคร","https://course.mytcas.com/programs/40610130302307A?major=A","มหาวิทยาลัยเทคโนโลยีมหานคร","หลักสูตรมาตรฐาน","วิทยาเขตหลัก","_","","","50","ไม่เปิดรับสมัครในรอบนี้"
"1722072639-38","https://course.mytcas.com/","หลักสูตรมาตรฐาน สาขาวิชาภาษาไทย (ภาษาไทย ปกติ)วิศวกรรมศาสตร์›วิศวกรรมโยธามหาวิทยาลัยเทคโนโลยีมหานคร","https://course.mytcas.com/programs/40610130302106A?major=A","มหาวิทยาลัยเทคโนโลยีมหานคร","หลักสูตรมาตรฐาน","วิทยาเขตหลัก","_","","","50","ไม่เปิดรับสมัครในรอบนี้"
"1722072644-39","https://course.mytcas.com/","หลักสูตรมาตรฐาน สาขาวิชาภาษาไทย (ภาษาไทย ปกติ)วิศวกรรมศาสตร์›วิศวกรรมเมคคาทรอนิกส์มหาวิทยาลัยเทคโนโลยีมหานคร","https://course.mytcas.com/programs/40610130301905A?major=A","มหาวิทยาลัยเทคโนโลยีมหานคร","หลักสูตรมาตรฐาน","วิทยาเขตหลัก","_","","","50","ไม่เปิดรับสมัครในรอบนี้"
"1722072649-40","https://course.mytcas.com/","หลักสูตรมาตรฐาน สาขาวิชาภาษาไทย (ภาษาไทย ปกติ)วิศวกรรมศาสตร์›วิศวกรรมไฟฟ้าสื่อสาร วิศวกรรมโทรคมนาคมมหาวิทยาลัยเทคโนโลยีมหานคร","https://course.mytcas.com/programs/40610130301804A?major=A","มหาวิทยาลัยเทคโนโลยีมหานคร","หลักสูตรมาตรฐาน","วิทยาเขตหลัก","_","","","50","ไม่เปิดรับสมัครในรอบนี้"
"1722072654-41","https://course.mytcas.com/","หลักสูตรมาตรฐาน สาขาวิชาภาษาไทย (ภาษาไทย ปกติ)วิศวกรรมศาสตร์›วิศวกรรมไฟฟ้ากำลังมหาวิทยาลัยเทคโนโลยีมหานคร","https://course.mytcas.com/programs/40610130301703A?major=A","มหาวิทยาลัยเทคโนโลยีมหานคร","หลักสูตรมาตรฐาน","วิทยาเขตหลัก","_","","","50","ไม่เปิดรับสมัครในรอบนี้"
"1722072659-42","https://course.mytcas.com/","หลักสูตรมาตรฐาน สาขาวิชาภาษาไทย (ภาษาไทย ปกติ)วิศวกรรมศาสตร์›วิศวกรรมเครื่องกลมหาวิทยาลัยเทคโนโลยีมหานคร","https://course.mytcas.com/programs/40610130300702A?major=A","มหาวิทยาลัยเทคโนโลยีมหานคร","หลักสูตรมาตรฐาน","วิทยาเขตหลัก","_","","","50","ไม่เปิดรับสมัครในรอบนี้"
"1722072664-43","https://course.mytcas.com/","หลักสูตรมาตรฐาน สาขาวิชาภาษาไทย (ภาษาไทย ปกติ)วิศวกรรมศาสตร์›วิศวกรรมคอมพิวเตอร์มหาวิทยาลัยเทคโนโลยีมหานคร","https://course.mytcas.com/programs/40610130300501A?major=A","มหาวิทยาลัยเทคโนโลยีมหานคร","หลักสูตรมาตรฐาน","วิทยาเขตหลัก","_","","","50","ไม่เปิดรับสมัครในรอบนี้"
"1722072670-44","https://course.mytcas.com/","หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมโลจิสติกส์) (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมโลจิสติกส์มหาวิทยาลัยหอการค้าไทย","https://course.mytcas.com/programs/40560107302401A","มหาวิทยาลัยหอการค้าไทย","หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมโลจิสติกส์)","วิทยาเขตหลัก","อัตราค่าเล่าเรียน  340,000 บาท ตลอดหลักสูตร","","","60","ไม่เปิดรับสมัครในรอบนี้"
"1722072675-45","https://course.mytcas.com/","หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมไฟฟ้าและพลังงาน) (ภาษาไทย ปกติ)คณะวิศวกรรมศาสตร์›วิศวกรรมไฟฟ้ามหาวิทยาลัยหอการค้าไทย","https://course.mytcas.com/programs/40560107301601A","มหาวิทยาลัยหอการค้าไทย","หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมไฟฟ้าและพลังงาน)","วิทยาเขตหลัก","อัตราค่าเล่าเรียน  340,000 บาท ตลอดหลักสูตร","","","60","ไม่เปิดรับสมัครในรอบนี้"
